ASV,Kingdom,Phylum,Class,Order,Family,Genus,Label
ASV00001,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_III,,"Proteobacteria (f. Bdellovibrionaceae, OM27 clade)"
ASV00002,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospirae (g. Nitrospira)
ASV00003,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,Bacteroidetes (g. Haliscomenobacter)
ASV00004,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00005,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,"Actinobacteria (f. Sporichthyaceae, hgcI clade)"
ASV00006,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospirae (g. Nitrospira)
ASV00007,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Bacteroidetes (g. Sediminibacterium)
ASV00008,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,,Bacteroidetes (o. Sphingobacteriales)
ASV00009,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,Acidobacteria (f. Thermoanaerobaculaceae)
ASV00010,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,Proteobacteria (g. Tabrizicola)
ASV00011,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Proteobacteria (g. Arenimonas)
ASV00012,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila,Actinobacteria (g. Planktophila)
ASV00013,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,Proteobacteria (f. Burkholderiaceae)
ASV00014,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Proteobacteria (g. Arenimonas)
ASV00015,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,,Actinobacteria (f. Sporichthyaceae)
ASV00016,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,,Bacteroidetes (f. Microscillaceae)
ASV00017,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Pseudarcicella,Bacteroidetes (g. Pseudarcicella)
ASV00018,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00019,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes (g. Flavobacterium)
ASV00020,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Leptothrix,Proteobacteria (g. Leptothrix)
ASV00021,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,Bacteroidetes (g. Paludibacter)
ASV00022,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,Bacteroidetes (g. Paludibacter)
ASV00023,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Proteobacteria (g. Cellvibrio)
ASV00024,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,Proteobacteria (g. Perlucidibaca)
ASV00025,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Proteobacteria (g. Novosphingobium)
ASV00026,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Bacteroidetes (g. Sediminibacterium)
